Corp ID,Corp Name,Schl ID,Schl Name,American Indian,Asian,Black,Hispanic,Multiracial,Native Hawaiian or Other Pacific Islander,White,Free/Reduced price meals,Paid meals,Grand Total
15,Adams Central Community Schools,13,Adams Central Middle School,,2,3,10,1,,251,63,204,267
15,Adams Central Community Schools,20,Adams Central Elementary School,1,5,6,25,13,,586,172,464,636
15,Adams Central Community Schools,21,Adams Central High School,1,6,1,9,5,,356,86,292,378
25,North Adams Community Schools,29,Bellmont Senior High School,5,4,9,82,16,,558,232,442,674
25,North Adams Community Schools,33,Bellmont Middle School,1,3,11,50,20,1,364,251,199,450
25,North Adams Community Schools,37,Bellmont Elementary,,3,13,39,18,2,301,251,125,376
25,North Adams Community Schools,41,Southeast Elementary School,,1,13,35,17,,222,191,97,288
35,South Adams Schools,17,South Adams Middle School,1,5,3,42,5,,238,131,163,294
35,South Adams Schools,23,South Adams High School,1,4,4,42,2,,289,134,208,342
35,South Adams Schools,25,South Adams Elementary School,,5,4,76,11,,526,268,354,622
125,M S D Southwest Allen County Schls,45,Aboite Elementary School,1,38,11,26,23,,411,64,446,510
125,M S D Southwest Allen County Schls,46,Whispering Meadow Elementary Sch,3,37,56,32,24,2,362,108,408,516
125,M S D Southwest Allen County Schls,47,Homestead Senior High School,7,115,121,103,90,2,1905,272,2071,2343
125,M S D Southwest Allen County Schls,63,Summit Middle School,2,17,15,49,29,,594,111,595,706
125,M S D Southwest Allen County Schls,64,Lafayette Meadow School,1,7,20,24,19,,498,76,493,569
125,M S D Southwest Allen County Schls,67,Woodside Middle School,3,58,70,56,57,2,809,145,910,1055
125,M S D Southwest Allen County Schls,68,Haverhill Elementary School,1,15,15,19,20,,340,71,339,410
125,M S D Southwest Allen County Schls,71,Deer Ridge Elementary,,34,12,14,23,,353,33,403,436
125,M S D Southwest Allen County Schls,72,Covington Elementary School,,19,88,46,48,1,624,170,656,826
225,Northwest Allen County Schools,69,Arcola School,2,,2,13,9,,155,57,124,181
225,Northwest Allen County Schools,79,Maple Creek Middle School,,38,14,40,34,,715,130,711,841
225,Northwest Allen County Schools,87,Hickory Center Elementary School,3,21,7,13,35,,354,64,369,433
225,Northwest Allen County Schools,89,Huntertown Elementary School,,25,10,39,33,,555,217,445,662
225,Northwest Allen County Schools,90,Carroll Middle School,1,20,24,55,44,,757,221,680,901
225,Northwest Allen County Schools,91,Carroll High School,6,90,57,92,87,,2079,429,1982,2411
225,Northwest Allen County Schools,92,Perry Hill Elementary School,,12,16,22,23,,454,94,433,527
225,Northwest Allen County Schools,94,Oak View Elementary School,,21,8,17,24,,405,39,436,475
225,Northwest Allen County Schools,95,Cedar Canyon Elementary School,1,32,16,31,21,,482,55,528,583
225,Northwest Allen County Schools,96,Eel River Elementary School,,15,10,23,50,,451,122,427,549
225,Northwest Allen County Schools,145,Allen Co Youth Services Center,,,1,,,,8,9,,9
235,Fort Wayne Community Schools,100,Allen Co Juvenile Center,,,1,1,1,,5,4,4,8
235,Fort Wayne Community Schools,101,North Side High School,3,114,380,253,182,2,710,1237,407,1644
235,Fort Wayne Community Schools,102,R Nelson Snider High School,11,73,444,182,138,,1047,932,963,1895
235,Fort Wayne Community Schools,105,South Side High School,,99,454,425,127,3,250,1106,252,1358
235,Fort Wayne Community Schools,107,Blackhawk Middle School,4,41,176,56,69,1,464,373,438,811
235,Fort Wayne Community Schools,118,Jeff H Towles Intermediate School,4,18,136,135,54,1,249,331,266,597
235,Fort Wayne Community Schools,119,Jefferson Middle School,2,26,96,76,59,2,442,359,344,703
235,Fort Wayne Community Schools,121,Kekionga Middle School,1,30,154,122,53,2,143,393,112,505
235,Fort Wayne Community Schools,125,Lakeside Middle School,,51,146,61,63,2,176,409,90,499
235,Fort Wayne Community Schools,126,Lane Middle School,1,27,236,131,64,1,231,481,210,691
235,Fort Wayne Community Schools,127,Memorial Park Middle School,2,16,161,159,49,2,212,378,223,601
235,Fort Wayne Community Schools,128,Miami Middle School,,95,193,112,38,,113,452,99,551
235,Fort Wayne Community Schools,129,Northwood Middle School,4,51,98,108,77,1,291,466,164,630
235,Fort Wayne Community Schools,133,Portage Middle School,,3,103,97,40,,201,362,82,444
235,Fort Wayne Community Schools,134,Weisser Park Elementary School,3,7,195,104,41,3,229,365,217,582
235,Fort Wayne Community Schools,136,Fairfield Elementary School,1,32,166,162,66,,92,468,51,519
235,Fort Wayne Community Schools,137,Merle J Abbett Elementary School,,3,206,179,53,1,27,430,39,469
235,Fort Wayne Community Schools,141,Adams Elementary School,,33,74,90,30,,43,245,25,270
235,Fort Wayne Community Schools,149,Bloomingdale Elementary School,,2,69,56,58,,167,285,67,352
235,Fort Wayne Community Schools,151,Bunche Elementary School,1,4,77,37,21,1,100,102,139,241
235,Fort Wayne Community Schools,153,Brentwood Elementary School,1,67,150,60,45,,154,371,106,477
235,Fort Wayne Community Schools,154,Fred H Croninger Elementary School,4,15,93,34,41,,457,186,458,644
235,Fort Wayne Community Schools,157,Forest Park Elementary School,1,97,151,67,66,2,207,464,127,591
235,Fort Wayne Community Schools,161,Franke Park Elementary School,,18,56,100,43,1,248,338,128,466
235,Fort Wayne Community Schools,162,Glenwood Park Elementary School,2,63,104,49,56,,348,385,237,622
235,Fort Wayne Community Schools,164,J Wilbur Haley Elementary School,2,29,198,76,85,,256,406,240,646
235,Fort Wayne Community Schools,177,Wayne High School,5,101,399,230,108,,503,938,407,1346
235,Fort Wayne Community Schools,178,Harrison Hill Elementary School,1,89,183,213,69,,111,542,123,666
235,Fort Wayne Community Schools,186,Mabel K Holland Elementary School,1,24,36,69,43,,232,280,125,405
235,Fort Wayne Community Schools,189,Indian Village Elementary School,4,3,109,108,50,,158,311,121,432
235,Fort Wayne Community Schools,193,John S Irwin Elementary School,1,3,154,39,29,,72,187,111,298
235,Fort Wayne Community Schools,197,Lindley Elementary School,1,7,89,116,53,,108,270,104,374
235,Fort Wayne Community Schools,205,Maplewood Elementary School,3,17,134,53,62,,202,354,117,471
235,Fort Wayne Community Schools,209,Willard Shambaugh Elementary Sch,,5,13,27,18,,239,151,151,302
235,Fort Wayne Community Schools,217,Northcrest Elementary School,,90,132,73,62,1,97,332,123,455
235,Fort Wayne Community Schools,219,Northrop High School,9,85,331,306,142,,1251,1160,964,2124
235,Fort Wayne Community Schools,221,Francis M Price Elementary School,,16,43,93,61,1,314,352,176,528
235,Fort Wayne Community Schools,233,Saint Joseph Central School,,12,46,31,47,5,286,198,229,427
235,Fort Wayne Community Schools,239,Robert C Harris Elementary School,,15,72,49,30,1,239,230,176,406
235,Fort Wayne Community Schools,240,Shawnee Middle School,2,40,136,129,71,1,288,431,236,667
235,Fort Wayne Community Schools,241,Whitney M Young Early Childhood,,8,70,51,14,,102,126,119,245
235,Fort Wayne Community Schools,249,Levan R Scott Academy,1,60,184,90,24,,24,343,40,383
235,Fort Wayne Community Schools,253,South Wayne Elementary School,1,9,128,123,47,1,80,332,57,389
235,Fort Wayne Community Schools,257,Study Elementary School,2,9,63,88,36,1,105,264,40,304
235,Fort Wayne Community Schools,265,Washington Elementary School,,2,53,48,34,,127,207,57,264
235,Fort Wayne Community Schools,269,Washington Center Elementary Sch,1,18,36,55,50,3,342,285,220,505
235,Fort Wayne Community Schools,270,Lincoln Elementary School,2,35,158,125,81,,313,453,261,714
235,Fort Wayne Community Schools,273,Waynedale Elementary School,,96,94,34,46,1,195,355,111,466
235,Fort Wayne Community Schools,275,Arlington Elementary School,1,19,106,79,57,,220,250,232,482
255,East Allen County Schools,43,Prince Chapman Academy,,308,240,111,52,,63,695,79,774
255,East Allen County Schools,49,Leo Junior/Senior High School,3,33,26,52,42,,1199,224,1131,1355
255,East Allen County Schools,53,Leo Elementary School,2,6,6,24,20,,514,104,468,572
255,East Allen County Schools,81,Heritage Jr/Sr High School,3,119,69,65,41,,493,432,358,790
255,East Allen County Schools,83,New Haven Primary School,,7,58,28,37,,336,325,141,466
255,East Allen County Schools,281,Heritage Elementary School,1,5,77,53,32,,332,330,170,500
255,East Allen County Schools,285,Woodlan Jr/Sr High School,,31,32,35,25,1,607,252,479,731
255,East Allen County Schools,291,Cedarville Elementary School,,2,12,19,24,,676,156,577,733
255,East Allen County Schools,294,Paul Harding Jr High School,,137,131,52,20,,20,338,22,360
255,East Allen County Schools,297,New Haven High School,2,52,320,105,63,,550,717,375,1092
255,East Allen County Schools,301,New Haven Middle School,2,4,45,26,23,1,363,297,167,464
255,East Allen County Schools,305,New Haven Intermediate School,,3,50,35,34,,325,315,132,447
255,East Allen County Schools,310,Southwick Elementary School,1,243,181,85,35,,60,543,62,605
255,East Allen County Schools,318,EACS Early Childhood Preschool,,2,4,6,,,36,24,24,48
255,East Allen County Schools,323,Woodlan Elementary School,,1,5,14,19,,502,207,334,541
255,East Allen County Schools,394,East Allen University,,82,31,43,18,,143,195,122,317
365,Bartholomew Con School Corp,328,Clifty Creek Elementary School,2,23,13,125,32,,325,424,96,520
365,Bartholomew Con School Corp,346,CSA Lincoln Campus,1,13,7,23,10,1,290,121,224,345
365,Bartholomew Con School Corp,353,Mount Healthy Elementary School,1,1,,36,19,,416,221,252,473
365,Bartholomew Con School Corp,354,Richard L Johnson Early Educ Cntr,,2,1,12,9,,36,42,18,60
365,Bartholomew Con School Corp,357,Parkside Elementary School,2,117,12,189,32,1,456,376,433,809
365,Bartholomew Con School Corp,363,W D Richards Elementary School,5,13,11,119,20,2,413,271,311,583
365,Bartholomew Con School Corp,366,Rockcreek Elementary School,1,1,4,15,10,1,340,148,224,372
365,Bartholomew Con School Corp,369,Lillian Schmitt Elementary School,2,13,25,83,41,1,493,482,176,658
365,Bartholomew Con School Corp,371,L F Smith Elementary,,19,18,56,36,,394,343,180,523
365,Bartholomew Con School Corp,375,CSA Fodrea Campus,1,59,6,52,13,1,251,159,224,383
365,Bartholomew Con School Corp,377,Taylorsville Elementary School,2,2,6,241,13,1,342,455,152,607
365,Bartholomew Con School Corp,390,Central Middle School,2,38,25,101,33,,648,386,461,847
365,Bartholomew Con School Corp,392,Southside Elementary School,9,221,13,100,27,1,539,216,694,910
365,Bartholomew Con School Corp,395,Northside Middle School,5,55,11,185,36,,583,407,468,875
365,Bartholomew Con School Corp,397,Columbus North High School,5,134,51,299,75,2,1460,651,1375,2026
365,Bartholomew Con School Corp,399,Columbus East High School,1,19,34,116,78,1,1266,516,999,1515
370,Flat Rock-Hawcreek School Corp,409,Hope Elementary School,,,,9,6,,429,223,221,444
370,Flat Rock-Hawcreek School Corp,410,Hauser Jr-Sr High School,,6,2,13,10,2,405,176,262,438
395,Benton Community School Corp,421,Otterbein Elementary School,,,3,17,3,,288,112,199,311
395,Benton Community School Corp,433,Boswell Elementary School,1,,1,49,3,,116,130,40,170
395,Benton Community School Corp,445,Benton Central Jr-Sr High School,1,4,6,60,15,,805,392,499,891
395,Benton Community School Corp,446,Prairie Crossing Elementary School,1,,3,31,16,,411,268,194,462
515,Blackford County Schools,485,Montpelier School,,,2,7,9,,197,128,87,215
515,Blackford County Schools,489,Blackford High School,,1,1,14,14,,512,282,260,542
515,Blackford County Schools,491,Blackford Junior High School,,1,1,2,11,,223,149,89,238
515,Blackford County Schools,494,North Side Elementary School,,,,12,11,,263,171,115,286
515,Blackford County Schools,501,Southside Elementary School,1,1,2,9,15,,353,242,139,381
615,Western Boone Co Com Sch Dist,521,Granville Wells Elementary School,,3,1,9,4,1,449,167,300,467
615,Western Boone Co Com Sch Dist,537,Thorntown Elementary School,,,1,9,15,,425,175,275,450
615,Western Boone Co Com Sch Dist,539,Western Boone Jr-Sr High School,2,4,1,21,9,1,757,256,539,795
630,Zionsville Community Schools,510,Zionsville West Middle School,2,78,37,56,52,,854,83,996,1079
630,Zionsville Community Schools,511,Zionsville Middle School,,40,9,36,61,,1028,46,1128,1174
630,Zionsville Community Schools,512,Zionsville Community High School,4,90,44,81,74,,1705,115,1883,1998
630,Zionsville Community Schools,514,Eagle Elementary School,,29,8,25,25,,307,26,368,394
630,Zionsville Community Schools,517,Zionsville Pleasant View Elem Sch,,17,3,27,41,,727,21,794,815
630,Zionsville Community Schools,541,Union Elementary School,,31,10,32,25,,554,21,631,652
630,Zionsville Community Schools,542,Stonegate Elementary,,28,15,28,22,1,439,43,490,533
630,Zionsville Community Schools,544,Boone Meadow,1,49,14,35,38,1,347,11,474,485
665,Lebanon Community School Corp,534,Perry Worth Elementary School,,7,18,26,25,,309,104,281,385
665,Lebanon Community School Corp,553,Lebanon Senior High School,1,12,24,60,25,,887,359,650,1009
665,Lebanon Community School Corp,557,Lebanon Middle School,,10,15,67,37,,676,330,475,805
665,Lebanon Community School Corp,561,Central Elementary School,,1,7,19,3,,339,77,292,369
665,Lebanon Community School Corp,565,Harney Elementary School,,,4,44,16,,431,228,267,495
665,Lebanon Community School Corp,569,Hattie B Stokes Elementary School,,1,10,34,36,,366,350,97,447
670,Brown County School Corporation,571,Brown County Intermediate School,1,2,2,7,4,,257,142,131,273
670,Brown County School Corporation,573,Brown County High School,6,11,,14,16,,618,280,385,665
670,Brown County School Corporation,577,Van Buren Elementary School,,1,2,4,7,1,191,105,101,206
670,Brown County School Corporation,581,Helmsburg Elementary School,2,,1,6,2,,221,142,90,232
670,Brown County School Corporation,585,Sprunica Elementary School,2,,2,1,8,1,308,177,145,322
670,Brown County School Corporation,587,Brown County Junior High,3,3,,7,7,,275,142,153,295
750,Carroll Consolidated School Corp,621,Carroll Senior High School,2,,3,12,8,1,298,94,230,324
750,Carroll Consolidated School Corp,623,Carroll Junior High School,,,,7,2,,181,67,123,190
750,Carroll Consolidated School Corp,629,Carroll Elementary School,,,6,28,18,,544,266,330,596
755,Delphi Community School Corp,609,Delphi Community Middle School,1,,3,36,5,,304,203,146,349
755,Delphi Community School Corp,637,Delphi Community High School,1,,1,41,12,,361,187,229,416
755,Delphi Community School Corp,641,Delphi Community Elementary School,,2,7,67,17,,558,383,268,651
775,Pioneer Regional School Corp,645,Pioneer Jr-Sr High School,3,5,4,26,7,,406,193,258,451
775,Pioneer Regional School Corp,649,Pioneer Elementary School,2,3,4,20,19,,460,250,258,508
815,Lewis Cass Schools,689,Lewis Cass High School,,2,4,32,6,,410,146,308,454
815,Lewis Cass Schools,691,Lewis Cass Junior High School,1,4,,26,11,,271,127,186,313
815,Lewis Cass Schools,695,Lewis Cass Elementary School,,6,1,32,30,1,478,255,293,548
875,Logansport Community Sch Corp,701,Logansport Community High School,1,31,12,465,30,1,680,647,573,1220
875,Logansport Community Sch Corp,702,Logansport Junior High School,1,22,4,281,25,,294,372,255,627
875,Logansport Community Sch Corp,705,Franklin Elementary School,1,10,2,142,17,,212,251,133,384
875,Logansport Community Sch Corp,709,Fairview Elementary School,2,3,10,168,10,,217,221,189,410
875,Logansport Community Sch Corp,711,Landis Elementary School,,29,9,366,36,,406,446,400,846
875,Logansport Community Sch Corp,713,Columbia Elementary School,,15,4,220,16,,185,342,98,440
875,Logansport Community Sch Corp,715,Columbia 6th Grade Academy,,8,7,134,8,,165,183,139,322
940,West Clark Community Schools,765,Henryville Jr & Sr High School,,1,2,17,13,,488,180,341,521
940,West Clark Community Schools,767,Henryville Elementary School,5,2,5,19,20,,621,260,412,672
940,West Clark Community Schools,777,Silver Creek High School,1,15,8,61,25,2,806,239,679,918
940,West Clark Community Schools,781,Silver Creek Middle School,,7,11,54,28,3,586,206,483,689
940,West Clark Community Schools,789,Silver Creek Elementary School,,12,12,90,38,,683,285,550,835
940,West Clark Community Schools,813,William W Borden High School,,1,2,10,5,1,318,108,229,337
940,West Clark Community Schools,815,William W Borden Elementary School,,,4,7,1,,299,94,217,311
940,West Clark Community Schools,818,Silver Creek Primary School,1,5,4,49,27,,398,161,323,484
1000,Clarksville Community School Corp,833,Clarksville Senior High School,1,2,40,37,40,2,318,264,176,440
1000,Clarksville Community School Corp,845,Clarksville Elementary School,,2,50,74,56,,345,385,142,527
1000,Clarksville Community School Corp,851,Clarksville Middle School,1,,39,40,38,,307,281,144,425
1010,Greater Clark County Schools,755,W E Wilson Elementary,3,4,135,50,79,2,225,314,184,498
1010,Greater Clark County Schools,761,Thomas Jefferson Elementary School,,5,40,26,43,,262,164,212,376
