County Name,Org. Code,Organization Name,School Code,School Name / Category (include or exclude alternative schools),Grade,Total Pupil Count,Total Dropout Rate,Black Or Aftican American Pupil Count,Hispanic or Latino Pupil Count,White Pupil Count,School Closed Note
,,,,,,,,,,,
,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),7,553,0.0180,29,168,330,
,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),7,75607,0.0030,3553,25247,40786,
,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),7,76160,0.0030,3582,25415,41116,
,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),8,721,0.0210,52,230,400,
,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),8,73388,0.0030,3494,24363,39804,
,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),8,74109,0.0030,3546,24593,40204,
,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),9,2328,0.1160,201,1065,922,
,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),9,76802,0.0080,3793,25272,41662,
,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),9,79130,0.0110,3994,26337,42584,
,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),10,3712,0.1310,248,1852,1414,
,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),10,70446,0.0110,3577,22694,38696,
,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),10,74158,0.0170,3825,24546,40110,
,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),11,5351,0.1660,340,2594,2131,
,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),11,65132,0.0230,3206,19846,37031,
,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),11,70483,0.0340,3546,22440,39162,
,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),12,11257,0.2460,744,5694,4148,
,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),12,63884,0.0430,3318,19008,36613,
,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),12,75141,0.0730,4062,24702,40761,
,9999,STATE TOTAL,9999,STATE GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),ALL,23922,0.1860,1614,11603,9345,
,9999,STATE TOTAL,9999,STATE GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),ALL,425259,0.0140,20941,136430,234592,
,9999,STATE TOTAL,9999,STATE GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),ALL,449181,0.0230,22555,148033,243937,
,,,,,,,,,,,
ADAMS,0010,MAPLETON 1,0000,SUMMER SCHOOL,9,29,0.1720,1,28,0,
ADAMS,0010,MAPLETON 1,0000,SUMMER SCHOOL DROPOUTS,ALL,29,0.1720,1,28,0,
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,7,140,0.0000,2,97,34,
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,8,143,0.0000,3,98,38,
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,9,181,0.0110,3,121,43,
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,155,0.0710,7,105,37,
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,11,122,0.0660,4,89,25,
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,12,76,0.0130,1,50,23,
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,ALL,817,0.0270,20,560,200,
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,9,98,0.0200,1,68,22,
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,10,74,0.0270,1,53,18,
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,11,79,0.0510,2,51,24,
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,12,65,0.0000,2,46,13,
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,ALL,316,0.0250,6,218,77,
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,7,72,0.0000,1,64,7,
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,8,66,0.0000,0,62,3,
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,9,103,0.0390,1,88,13,
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,10,69,0.0720,1,62,4,
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,11,56,0.0710,0,50,4,
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,12,42,0.0710,1,35,6,
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,ALL,408,0.0390,4,361,37,
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,9,144,0.0000,1,117,18,
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,10,138,0.0290,4,98,30,
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,11,111,0.0450,2,91,11,
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,12,88,0.0340,1,70,15,
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,ALL,481,0.0250,8,376,74,
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,7,68,0.0000,1,57,9,
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,8,69,0.0000,3,50,15,
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,ALL,137,0.0000,4,107,24,
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,7,58,0.0000,3,41,10,
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,8,58,0.0170,2,41,12,
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,ALL,116,0.0090,5,82,22,
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,7,62,0.0000,1,47,8,
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,8,72,0.0140,0,60,8,
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,9,95,0.0000,1,78,13,
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,10,74,0.0270,1,58,13,
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,11,58,0.0170,1,46,8,
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,12,51,0.0200,2,34,13,
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,ALL,412,0.0120,6,323,63,
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,7,67,0.0150,0,53,12,
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,8,57,0.0000,1,47,5,
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,ALL,124,0.0080,1,100,17,
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,7,69,0.0000,1,45,14,
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,8,71,0.0000,4,51,11,
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,ALL,140,0.0000,5,96,25,
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,7,388,0.0000,15,79,262,
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,8,471,0.0040,12,106,313,
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,9,545,0.0390,16,129,350,
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,10,481,0.0540,12,104,326,
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,11,386,0.0310,10,69,274,
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,12,296,0.0470,3,46,215,
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,ALL,2567,0.0290,68,533,1740,
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,12,111,0.2160,1,85,19,
ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,ALL,111,0.2160,1,85,19,
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,7,72,0.0140,1,59,9,
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,8,62,0.0000,1,47,9,
ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,ALL,134,0.0070,2,106,18,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),7,980,0.0020,23,531,363,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),7,980,0.0020,23,531,363,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),8,1047,0.0040,26,547,408,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),8,1047,0.0040,26,547,408,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),9,1164,0.0290,24,611,449,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),9,1164,0.0290,24,611,449,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),10,964,0.0520,26,459,423,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),10,964,0.0520,26,459,423,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),11,779,0.0440,18,373,340,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),11,779,0.0440,18,373,340,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),12,710,0.0650,10,354,300,
ADAMS,0010,MAPLETON 1,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),12,710,0.0650,10,354,300,
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),ALL,0,0.0000,0,0,0,
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),ALL,5644,0.0300,127,2875,2283,
ADAMS,0010,MAPLETON 1,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),ALL,5644,0.0300,127,2875,2283,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0000,SUMMER SCHOOL DROPOUTS (NONE),ALL,0,0.0000,0,0,0,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,7,462,0.0020,3,79,334,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,8,491,0.0020,6,91,359,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,ALL,953,0.0020,9,170,693,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,7,38,0.0000,2,25,10,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,8,69,0.0140,2,41,26,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,9,69,0.0290,4,38,26,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,10,126,0.0480,2,61,58,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,11,213,0.0750,4,121,80,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,12,139,0.1650,4,74,53,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,ALL,654,0.0730,18,360,253,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,7,405,0.0020,18,111,254,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,8,411,0.0000,12,124,243,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,ALL,816,0.0010,30,235,497,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,7,85,0.0000,0,7,59,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,8,73,0.0000,2,8,45,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,9,80,0.0000,1,11,48,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,ALL,238,0.0000,3,26,152,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,7,50,0.0000,1,26,18,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,8,54,0.0190,1,29,22,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,ALL,104,0.0100,2,55,40,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,9,617,0.0020,7,163,401,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,10,562,0.0040,17,149,348,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,11,528,0.0060,8,136,336,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,12,550,0.0040,9,144,346,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,ALL,2257,0.0040,41,592,1431,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,7,93,0.0000,1,13,65,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,8,74,0.0000,1,6,53,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,ALL,167,0.0000,2,19,118,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,7,450,0.0000,14,201,197,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,8,440,0.0000,10,199,196,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,ALL,890,0.0000,24,400,393,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,9,677,0.0000,7,125,482,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,10,626,0.0000,14,133,416,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,11,636,0.0060,12,116,442,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,12,547,0.0180,12,101,369,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,ALL,2486,0.0060,45,475,1709,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,7,423,0.0000,21,326,62,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,8,383,0.0000,13,282,69,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,ALL,806,0.0000,34,608,131,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,9,596,0.0070,25,384,155,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,10,567,0.0230,21,349,161,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,11,615,0.0760,24,400,150,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,12,405,0.0470,14,255,106,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,ALL,2183,0.0380,84,1388,572,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,9,654,0.0110,17,211,384,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,10,576,0.0140,13,161,354,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,11,595,0.0270,16,195,340,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,12,483,0.0250,12,122,310,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,ALL,2308,0.0190,58,689,1388,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,7,389,0.0000,12,150,203,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,8,397,0.0000,8,154,206,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,ALL,786,0.0000,20,304,409,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,7,374,0.0030,16,215,114,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,8,365,0.0000,19,222,104,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,ALL,739,0.0010,35,437,218,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,9,715,0.0030,19,437,221,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,10,650,0.0080,20,413,177,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,11,613,0.0380,23,383,178,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,12,368,0.0140,12,213,117,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,ALL,2346,0.0150,74,1446,693,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,7,114,0.0000,2,4,89,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,8,120,0.0000,0,7,104,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,9,157,0.0000,0,22,119,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,10,118,0.0000,2,13,90,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6802,PROSPECT RIDGE ACADEMY,ALL,509,0.0000,4,46,402,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,7,9,0.1110,0,4,5,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,8,9,0.0000,1,3,5,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,9,9,0.0000,0,2,7,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,10,21,0.0950,1,9,11,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,11,98,0.1530,7,33,54,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,12,470,0.1700,14,228,201,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,6956,PATHWAYS FUTURE CENTER,ALL,616,0.1590,23,279,283,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,7,60,0.0000,1,9,48,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,8,58,0.0000,0,9,45,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8275,STEM LAB,ALL,118,0.0000,1,18,93,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,7,175,0.0000,1,134,33,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,8,178,0.0000,4,137,30,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,8310,STEM LAUNCH,ALL,353,0.0000,5,271,63,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,7,60,0.0000,0,8,46,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,8,42,0.0000,0,9,30,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,9,38,0.0000,0,11,25,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,10,27,0.0000,0,4,22,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,11,26,0.0000,0,1,24,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,12,11,0.0000,0,3,8,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,ALL,204,0.0000,0,36,155,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,7,417,0.0050,1,97,287,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,8,427,0.0000,3,107,277,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,ALL,844,0.0020,4,204,564,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY),7,41,0.0240,2,26,12,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),7,3408,0.0010,88,1300,1755,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),7,3449,0.0020,90,1326,1767,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY),8,70,0.0140,3,38,29,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),8,3367,0.0010,75,1311,1722,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),8,3437,0.0010,78,1349,1751,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY),9,68,0.0290,3,34,30,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),9,3354,0.0040,71,1284,1754,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),9,3422,0.0050,74,1318,1784,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY),10,126,0.0630,3,59,60,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),10,2993,0.0090,83,1166,1501,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),10,3119,0.0120,86,1225,1561,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY),11,286,0.1080,11,142,121,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),11,2805,0.0330,74,1115,1396,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),11,3091,0.0400,85,1257,1517,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (ALTERNATIVE SCHOOLS ONLY),12,584,0.1760,17,289,245,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),12,2227,0.0220,56,783,1189,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT TOTALS (INCLUDING ALTERNATIVE SCHOOLS),12,2811,0.0540,73,1072,1434,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),ALL,1175,0.1240,39,588,497,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),ALL,18154,0.0100,447,6959,9317,
ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,9998,DISTRICT GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),ALL,19329,0.0170,486,7547,9814,
